Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2012/2013,08/10/2012,17:30,Jagiellonia,Lechia Gdansk,0,2,A,2.29,3.14,3.71,2.35,3.3,3.71,2.22,3.09,3.3
Poland,Ekstraklasa,2012/2013,19/10/2012,17:00,Gornik Z.,Korona Kielce,2,0,H,1.74,3.83,5.33,1.85,3.85,5.6,1.71,3.51,4.82
Poland,Ekstraklasa,2012/2013,19/10/2012,19:45,Zaglebie,Lech Poznan,0,1,A,3.45,3.18,2.37,3.5,3.27,2.4,3.13,3.12,2.28
Poland,Ekstraklasa,2012/2013,20/10/2012,12:30,GKS Belchatow,Podbeskidzie,2,1,H,2.04,3.3,4.3,2.1,3.4,4.33,2,3.2,3.78
Poland,Ekstraklasa,2012/2013,20/10/2012,14:45,Piast Gliwice,Widzew Lodz,1,2,A,2.29,3.17,3.69,2.29,3.3,3.76,2.16,3.12,3.38
Poland,Ekstraklasa,2012/2013,20/10/2012,17:00,Wisla,Jagiellonia,0,0,D,1.87,3.48,4.86,1.9,3.55,4.86,1.83,3.33,4.3
Poland,Ekstraklasa,2012/2013,21/10/2012,13:30,Lechia Gdansk,Slask Wroclaw,2,3,A,2.37,3.13,3.47,2.75,3.2,3.47,2.49,3.05,2.87
Poland,Ekstraklasa,2012/2013,21/10/2012,16:00,Polonia Warszawa,Ruch,2,1,H,2,3.53,4.04,2.1,3.53,4.05,2.02,3.26,3.58
Poland,Ekstraklasa,2012/2013,22/10/2012,17:30,Pogon Szczecin,Legia,0,3,A,4.04,3.5,2,4.05,3.5,2.15,3.62,3.21,2.02
Poland,Ekstraklasa,2012/2013,26/10/2012,17:00,Podbeskidzie,Lechia Gdansk,2,3,A,3.33,3.2,2.39,3.35,3.25,2.5,3.03,3.12,2.34
Poland,Ekstraklasa,2012/2013,26/10/2012,19:45,Widzew Lodz,Wisla,1,2,A,3.1,3.11,2.58,3.1,3.25,2.65,2.85,3.06,2.49
Poland,Ekstraklasa,2012/2013,27/10/2012,12:30,Korona Kielce,Pogon Szczecin,2,1,H,2.11,3.37,3.84,2.19,3.4,3.9,2.04,3.19,3.55
